raw_facet,normalized_facet,category,conversation_observable,sensitivity,scoring_definition,abstention_reason
Risktaking,Risktaking,Personality/Cognitive,True,Low,"Measures the degree of 'Risktaking' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Naivety,Naivety,Personality/Cognitive,True,Low,"Measures the degree of 'Naivety' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Acidity,Acidity,Personality/Cognitive,True,Low,"Measures the degree of 'Acidity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Democratic Leadership:,Democratic Leadership,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Common-sense,Common-sense,Personality/Cognitive,True,Low,"Measures the degree of 'Common-sense' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Hesitation,Hesitation,Personality/Cognitive,True,Low,"Measures the degree of 'Hesitation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Discontentment,Discontentment,Personality/Cognitive,True,Low,"Measures the degree of 'Discontentment' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Overprotectiveness,Overprotectiveness,Personality/Cognitive,True,Low,"Measures the degree of 'Overprotectiveness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Merriness,Merriness,Personality/Cognitive,True,Low,"Measures the degree of 'Merriness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Emotionalism,Emotionalism,Personality/Cognitive,True,Low,"Measures the degree of 'Emotionalism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Self-improvement,Self-improvement,Personality/Cognitive,True,Low,"Measures the degree of 'Self-improvement' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Statistical Reasoning,Statistical Reasoning,Personality/Cognitive,True,Low,"Measures the degree of 'Statistical Reasoning' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Assertiveness and control in relationships,Assertiveness and control in relationships,Personality/Cognitive,True,Low,"Measures the degree of 'Assertiveness and control in relationships' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Cunningness,Cunningness,Personality/Cognitive,True,Low,"Measures the degree of 'Cunningness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Adventure-Seeking Behavior,Adventure-Seeking Behavior,Personality/Cognitive,True,Low,"Measures the degree of 'Adventure-Seeking Behavior' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
